date_report,confirmed,active,recovered
5/9/2020,288,47,241
4/26/2020,270,45,225
4/27/2020,270,45,225
5/4/2020,271,52,219
4/5/2020,241,151,90
4/15/2020,267,96,171
3/21/2020,94,77,17
4/24/2020,270,50,220
4/11/2020,258,114,144
4/6/2020,245,150,95
3/23/2020,123,106,17
3/25/2020,141,124,17
4/8/2020,251,125,126
4/25/2020,270,45,225
4/22/2020,268,45,223
4/13/2020,265,119,146
4/20/2020,268,54,214
5/1/2020,270,51,219
4/12/2020,262,118,144
3/15/2020,56,40,16
4/23/2020,268,44,224
3/19/2020,85,69,16
4/1/2020,218,155,63
3/11/2020,38,22,16
4/9/2020,255,127,128
5/2/2020,270,51,219
3/17/2020,66,50,16
5/3/2020,271,52,219
4/10/2020,257,113,144
4/3/2020,237,152,85
4/4/2020,240,150,90
3/20/2020,91,75,16
3/24/2020,134,117,17
5/5/2020,271,39,232
3/16/2020,61,45,16
4/16/2020,268,91,177
3/31/2020,212,154,58
4/2/2020,233,158,75
3/26/2020,153,133,20
4/17/2020,268,70,198
4/21/2020,268,52,216
3/27/2020,163,143,20
3/18/2020,75,59,16
4/30/2020,270,51,219
3/28/2020,174,153,21
3/13/2020,47,31,16
3/29/2020,188,163,25
4/14/2020,266,97,169
4/29/2020,270,48,222
3/30/2020,203,148,55
3/22/2020,113,96,17
4/28/2020,270,48,222
3/14/2020,53,37,16
4/19/2020,268,66,202
3/12/2020,39,23,16
4/18/2020,268,67,201
4/7/2020,249,126,123
3/10/2020,31,15,16
5/6/2020,271,39,232
5/7/2020,288,55,233
5/8/2020,288,47,241
3/2/2020,16,0,16
3/1/2020,16,0,16
2/27/2020,16,0,16
2/26/2020,16,0,16
3/5/2020,16,0,16
2/29/2020,16,0,16
2/28/2020,16,0,16
3/6/2020,16,0,16
3/4/2020,16,0,16
3/3/2020,16,0,16
2/25/2020,16,0,16
1/22/2020,0,0,0
2/24/2020,16,2,14
3/7/2020,18,2,16
2/23/2020,16,2,14
2/22/2020,16,2,14
2/21/2020,16,2,14
1/30/2020,2,2,0
1/24/2020,2,2,0
1/26/2020,2,2,0
1/31/2020,2,2,0
1/27/2020,2,2,0
1/29/2020,2,2,0
1/28/2020,2,2,0
1/25/2020,2,2,0
1/23/2020,2,2,0
2/1/2020,6,5,1
2/2/2020,6,5,1
2/4/2020,8,7,1
2/3/2020,8,7,1
2/5/2020,8,7,1
2/11/2020,15,9,6
2/15/2020,16,9,7
2/17/2020,16,9,7
2/18/2020,16,9,7
2/12/2020,15,9,6
2/20/2020,16,9,7
2/16/2020,16,9,7
2/14/2020,16,9,7
2/13/2020,16,9,7
2/19/2020,16,9,7
2/7/2020,10,9,1
2/6/2020,10,9,1
2/8/2020,13,12,1
2/9/2020,13,12,1
2/10/2020,14,13,1
3/9/2020,30,14,16
3/8/2020,30,14,16
